time,output_port
0,0
0.098752528,0
0.197505056,0
0.296257585,0
0.395010113,0
0.493762641,0
0.592515169,0
0.691267697,0
0.790020225,0
0.888772754,0
0.987525282,0
1.08627781,0
1.185030338,0
1.283782866,0
1.382535395,0
1.481287923,0
1.580040451,0
1.678792979,0
1.777545507,0
1.876298035,0
1.975050564,0
2.073803092,0
2.17255562,0
2.271308148,0
2.370060676,0
2.468813205,0
2.567565733,0
2.666318261,0
2.765070789,0
2.863823317,0
2.962575846,0
3.061328374,0
3.160080902,0
3.25883343,0
3.357585958,0
3.456338486,0
3.555091015,0
3.653843543,0
3.752596071,0
3.851348599,0
3.950101127,0
4.048853656,0
4.147606184,0
4.246358712,0
4.34511124,0
4.443863768,0
4.542616296,0
4.641368825,0
4.740121353,0
4.838873881,0
4.937626409,0
5.036378937,0
5.135131466,0
5.233883994,0
5.332636522,0
5.43138905,0
5.530141578,0
5.628894106,0
5.727646635,0
5.826399163,0
5.925151691,0
6.023904219,0
6.122656747,0
6.221409276,0
6.320161804,0
6.418914332,0
6.51766686,0
6.616419388,0
6.715171916,0
6.813924445,0
6.912676973,0
7.011429501,0
7.110182029,0
7.208934557,0
7.307687086,0
7.406439614,0
7.505192142,0
7.60394467,0
7.702697198,0
7.801449727,0
7.900202255,0
7.998954783,0
8.097707311,0
8.196459839,0
8.295212367,0
8.393964896,0
8.492717424,0
8.591469952,0
8.69022248,0
8.788975008,0
8.887727537,0
8.986480065,0
9.085232593,0
9.183985121,0
9.282737649,0
9.381490177,0
9.480242706,0
9.578995234,0
9.677747762,0
9.77650029,0
9.875252818,0
9.974005347,0
10.07275787,0
10.1715104,0
10.27026293,0
10.36901546,0
10.46776799,0
10.56652052,0
10.66527304,0
10.76402557,0
10.8627781,0
10.96153063,0
11.06028316,0
11.15903568,0
11.25778821,0
11.35654074,0
11.45529327,0
11.5540458,0
11.65279833,0
11.75155085,0
11.85030338,0
11.94905591,0
12.04780844,0
12.14656097,0
12.24531349,0
12.34406602,0
12.44281855,0
12.54157108,0
12.64032361,0
12.73907614,0
12.83782866,0
12.93658119,0
13.03533372,0
13.13408625,0
13.23283878,0
13.3315913,0
13.43034383,0
13.52909636,0
13.62784889,0
13.72660142,0
13.82535395,0
13.92410647,0
14.022859,0
14.12161153,0
14.22036406,0
14.31911659,0
14.41786911,0
14.51662164,0
14.61537417,0
14.7141267,0
14.81287923,0
14.91163176,0
15.01038428,0
15.10913681,0
15.20788934,0
15.30664187,0
15.4053944,0
15.50414692,0
15.60289945,0
15.70165198,0
15.80040451,0
15.89915704,0
15.99790957,0
16.09666209,0
16.19541462,0
16.29416715,0
16.39291968,0
16.49167221,0
16.59042473,0
16.68917726,0
16.78792979,0
16.88668232,0
16.98543485,0
17.08418738,0
17.1829399,0
17.28169243,0
17.38044496,0
17.47919749,0
17.57795002,0
17.67670254,0
17.77545507,0
17.8742076,0
17.97296013,0
18.07171266,0
18.17046519,0
18.26921771,0
18.36797024,0
18.46672277,0
18.5654753,0
18.66422783,0
18.76298035,0
18.86173288,0
18.96048541,0
19.05923794,0
19.15799047,0
19.256743,0
19.35549552,0
19.45424805,0
19.55300058,0
19.65175311,0
19.75050564,0
19.84925816,0
19.94801069,0
20.04676322,0
20.14551575,0
20.24426828,0
20.34302081,0
20.44177333,0
20.54052586,0
20.63927839,0
20.73803092,0
20.83678345,0
20.93553597,0
21.0342885,0
21.13304103,0
21.23179356,0
21.33054609,0
21.42929862,0
21.52805114,0
21.62680367,0
21.7255562,0
21.82430873,0
21.92306126,0
22.02181378,0
22.12056631,0
22.21931884,0
22.31807137,0
22.4168239,0
22.51557643,0
22.61432895,0
22.71308148,0
22.81183401,0
22.91058654,0
23.00933907,0
23.10809159,0
23.20684412,0
23.30559665,0
23.40434918,0
23.50310171,0
